urlDrugName,rating,effectiveness,sideEffects,benefitsReview,sideEffectsReview,commentsReview,word_count,stopwords,numerics
prozac,8,Moderately Effective,Mild Side Effects,"I felt better mood, optimism towards life in general, greater control of portion sizes. My recovery from anorexia was not easy, so I had a few months of moderate bulimia. It was then that my dosage grew bigger: 3 pills of 20 mg per day, though some days I would have 4 pills.",mood optimism towards life general greater control portion sizes recovery anorexia easy months moderate bulimia dosage grew bigger 3 pills 20 mg per day though days would 4 pills,"it takes very long, and requires a very large amount of patience.",53,17,3
effexor-xr,10,Highly Effective,No Side Effects,"Depression was gone for the first time in my life!  I finally knew what it was like to be ""normal"".",gone first time life finally knew like normal,"I had taken other anti-depressants with no benefit and negative side effects.  I also had done various talk therapies.  When the dose of Effexor XR got high enough, I felt for the first time what it was like to be ""normal"" - happy, sad, etc. without the overbearing feeling of depression.  When I had to go off the Effexor XR due to cost, the depression recurred.  This drug literally changed my life.  However, when I talk to other people who were not helped by it, they frequently are on a very low dose.  I am glad that I found a doctor willing to prescribe a high enough dose to be beneficial.",21,10,0
paxil,1,Considerably Effective,Severe Side Effects,It eliminated my depression.,eliminated,"I was subscribed this to help get me through my separation from my spouse. While taking it, everything I ate upset my stomach.

It was hell when the time came to stop taking it. It's very addictive and I felt nauseous, dizzy and just plain horrible when I first tried to stop taking it. I went back on it and started taking St. John's Wart with it. This helped immensely when it came time to try to quit the drug again. After a few weeks of taking the herb, I slowly started reducing the amount of Paxil I was taking by breaking up the tabs and taking less and less of it each day. I finally got off it and will never, ever take it again. It was a nightmare.",4,1,0
prozac,7,Considerably Effective,Mild Side Effects,"Before I began taking this, I had experienced a long time, chronic depression. After about one month of taking this I began feeling much better. Although things still are not perfect, and I have very blue periods, it has at least made life tolerable.",began taking experienced long time chronic one month taking began feeling much although things still perfect blue periods least made life tolerable,"Began taking 20 mg daily then increased it to 40 after 3 months.  Might help more if I were to go to some type of counseling, which I have not.",44,13,0
effexor,9,Highly Effective,Severe Side Effects,"I've taken various anti-depressants through the years, but this was the closest I ever came to a ""cure"". 
Granted, it was after I stopped taking the medication that this ""cure"" took place, but I never experienced this with other anti-depressants. While taking it, Effexor made me so sleepy all the time that I slept a good deal more than normal (10-12 hours daily). This is why I stopped taking it. But when I did, I felt better than I had in years. I remained depression-free for about 3 years. I then dealt with depression again for about 8-10 months (I didn't want to lose another 6-8 weeks taking the Effexor ""cure"" so I delayed, hoping I would just ""snap out of it"" on my own). When I finally conceded this wasn't going to happen, I returned to my doctor, who then convinced me to try something new, so I tried Cymbalta, hoping to get Effexor's benefits, without the side-effects. It worked well as long as I used it, but when I stopped, there was no ""cure"" like I'd had with Effexor. Now I take 600-1000 mg of samE. It's not as good as the post-Effexor experience, but I feel less dependant on the medical system for my maintenance, and I focus on physical health (good food, exercise, vitamins)to maintain my emotional health. Those things alone, unfortunately, do not completely do it for me, and that's where the samE comes in. It makes the difference.",ive taken various antidepressants years closest ever came cure granted stopped taking medication cure took place never experienced antidepressants taking effexor made sleepy time slept good deal normal 1012 hours daily stopped taking years remained depressionfree 3 years dealt 810 months didnt want lose another 68 weeks taking effexor cure delayed hoping would snap finally conceded wasnt going happen returned doctor convinced try something new tried cymbalta hoping get effexors benefits without sideeffects worked well long used stopped cure like id effexor take 6001000 mg good posteffexor experience less dependant medical system maintenance focus physical health good food exercise vitaminsto maintain emotional health things alone unfortunately completely thats comes makes difference,"I began Effexor under the care of a psychiatrist who was treating me for depression. My depression took the form of a lack of interest in all aspects of my life and I had begun to ""shut down"" to such a degree that sometimes the act of just walking from the garage into my house required a strong act of will. When I had to run errands, like grocery shopping, I felt an uncomfortable detachment from my environment. My treatment with Effexor, at worst, sometimes simply took me down (energy-wise) an additional notch from where I was. At best, it shifted me from the uncomfortable detached feeling and elevated my mood a couple of notches above where it had been. I had moments of feeling fully functional. That was enough to give me a sense of feeling better, and the will to decide to take my full energy back. That's when I stopped taking it, and experienced the miraculous ""cure"". If I ever experience such a deep depression again, I will choose to try the Effexor again (the original, not the newer version), rather than the Cymbalta. With the Cymbalta, I would already know that the benefits would only last as long as I chose to be on it, whereas, the Effexor would give me hope for a lengthy remission.",244,91,1
lexapro,10,Considerably Effective,No Side Effects,"I had hit the wall dealing with work, cllients,and family. My general physician asked me to see a therapist to help get me going in the right direction. After one meeting it was recommended by both caregivers that I take something to help me get through this rough spot. After about 3 weeks I started feeling like things were easier to cope with and I was making good decisions and getting things done again.",hit wall dealing work cllientsand family general physician asked see therapist help get going right direction one meeting recommended caregivers take something help get rough spot 3 weeks started feeling like things easier cope making good decisions getting things done,I take 1 lexapro daily. I have finished up with the therapist. I am feeling great.,74,26,1
zoloft,4,Marginally Effective,Severe Side Effects,"While I definitely did notice some improvement in my depression, I believe that Zoloft is far from being a truly effective antidepressant drug. My depression had somewhat subsided and my panic attacks were less severe, albeit not completely gone.",definitely notice improvement believe zoloft far truly effective antidepressant drug somewhat subsided panic attacks less severe albeit completely gone,"50 mg per day, in the mornings. Total duration of the treatment: 3 years.
During the treatment course, attempts were made to titrate the dosage to 100 mg per day, but I couldn`t tolerate it.",39,14,0
zyprexa,10,Highly Effective,No Side Effects,Went from severely depressed before starting the medication to almost entirely free of depression a week after starting the medication; helped with insomnia.,went severely depressed starting medication almost entirely free week starting medication helped insomnia,"I entered a hospuital six years ago for suicidality; I wasn't sleeping, I wasn't eating (I had anorexia nervosa), and I was extremely depressed. I started taking 10mg of Zyprexa the first night I was there. I was really drowsy all the next day, but it waned over a few days (now it doesn't affect my energy level at all.) In about a week, my depression just lifted. This medicine has worked miracles for me- I've been depression-free since starting it- and I wouldn't go off it for any reason.",23,9,0
wellbutrin,6,Considerably Effective,Moderate Side Effects,The medication treated the depression without the sexual side-effects that accompanied several other medications for depression.,medication treated without sexual sideeffects accompanied several medications,"I was prescribed Wellbutrin, was on it for approximately 5 months and gradually stopped over the course of a few days.",16,5,0
zoloft,10,Considerably Effective,No Side Effects,Depression free most days.,free days,My depression is due to a chemical imbalance.  I have been taking some form of SSRI for 20 years and I'm pretty certain I will always have to.,4,1,0
effexor-xr,2,Ineffective,Severe Side Effects,"I took it for three months and I did not feel any less depressed. I actually felt kind of paranois and ""out of it."" I did not fee any less depressed, in fact more anxious.",took three months less depressed actually kind paranois fee less depressed fact anxious,It did not work I gained 23 pounds in three months! I tried taking in am and pm and neither worked out. I gained a lot of weight and experienced insomnia and early am waking.,35,14,0
wellbutrin,9,Highly Effective,No Side Effects,"Experienced significant mood improvement in 2 weeks, increasingly more apparent over time. Where other medications had not worked, or had adverse side effects, Wellbutrin did not. This after several years of trial and error with other anti-depressants.",experienced significant mood improvement 2 weeks increasingly apparent time medications worked adverse side effects wellbutrin several years trial error antidepressants,"Extreme depression over a period of 12 years, seemingly untreatable. Multiple medication combinations were tried via trial and error. These included Zyprexa, Effexor (induced mild mania over time), Paxil, Prozac, and others. These were prescibed by a series of psychiatrists over the dozen years or so. Patient has stabilized in the past three years and is relatively happy with hid mood levels and stability.",37,14,1
lexapro,7,Considerably Effective,Mild Side Effects,The drug was able to improve my depression and create balance in my life over the long run,drug improve create balance life long run,The details are I take a pill once a day and have for the past several years and intend to continue in the future,18,8,0
lexapro,8,Highly Effective,Mild Side Effects,"maintain mood, decrease in depression, the combination of meds provided for a drcrease in hospitializations and lethality. More activity on a daily basis and a return to ""normal"" behaviot in re : to sleep patterns and appetite.",maintain mood decrease combination meds provided drcrease hospitializations lethality activity daily basis return normal behaviot sleep patterns appetite,one and a half tablts once a day of lexapro combined with100mg topamax and 300mg trlileptal for bipolar disorder and major depression and ptsd.,37,16,0
pristiq,10,Highly Effective,No Side Effects,"No side effects, other anti-depresson pills usually made me stop taking them because of the side effects, but Prestiq had none. I actually felt better after taking my pill, I was more bubbly and felt like my old self. I was also less aggravated and could think more clearly.",side effects antidepresson pills usually made stop taking side effects prestiq none actually taking pill bubbly like old self also less aggravated could think clearly,I would take one pill before bed time each day. I have noticed as with other anti-depressants I would have to take them at bed-time or they would keep me awake. I didn't notice any problems with prestiq when taken in the morning.,49,17,0
zoloft,7,Considerably Effective,Moderate Side Effects,I immediately felt my mood swings and irritability disappear and I became a nicer person again overnight. My partner noticed it immediately and I noitced it in myself. I havn't cried at all and  although I don't feel depressed it's more that all my feelings have been numbed! I feel that nothing affects me and that I am better able to cope day to day.,immediately mood swings irritability disappear became nicer person overnight partner noticed immediately noitced cried although dont depressed feelings nothing affects cope day day,Although this has been by far the best treatment drug I have tried in terms of treating my depression and mood swings and irritability at the moment I have chosen to withdraw from the drug due to the chronic fatigue which was bringing me down and beginning to make me low in another way. I have been told by the professionals that I have a chemical inbalance and that I have to take the anti-depressants like a diabetic has to take their insulin but for the moment I have chosen to have a moment drug free to find out what sort of person I am! I suspect I will last only a few weeks. Of of all the drugs I have tried this has been by far been the most successful for me in treating the symptoms.,66,27,0
wellbutrin-sr,10,Highly Effective,No Side Effects,"The benefits of treatment were a lifting of depression, specifically as it relates to Wellbutrin, to elevate the ceiling of emotions. It also had a midly energizing effect.",benefits treatment lifting specifically relates wellbutrin elevate ceiling emotions also midly energizing effect,"I've used wellbutrin in combination with other anti-depressants, but it is usually the other one (Zoloft, Prozac, Effexor) that loses it's effect after time. Wellbutrin has remained consistently reliable and contributes to the livlier aspects of mood elevation for me.",28,12,0
prozac,10,Highly Effective,Mild Side Effects,"In general, I have enjoyed daily happy moods and more energy. I am able to focus on tasks better and can accomplish more each day. Mood swings, irritability, and temper outbursts are rare. I have gone from below-average to above-average coping skills. Feelings of worthlessness and suicidal thoughts no longer occur.",general enjoyed daily happy moods energy focus tasks accomplish day mood swings irritability temper outbursts rare gone belowaverage aboveaverage coping skills feelings worthlessness suicidal thoughts longer occur,"Before Prozac, for many years I was unable to experience sustained happiness or control my mood. I was irritable at least 10 days each month, had uncontrollable racing thoughts, experienced frequent temper outbursts, felt hopeless and worthless, did not view life as worthwhile, thought about suicide often and made several attempts. There was no joy in my life and I suffered from delibitating migraine headaches 5 or 6 times per year. When I went to the doctor, I was unable to stop thinking about suicide. My doctor put me on Prozac, 20 mg each a.m. and I improved dramatically in a few weeks. After 6 months, I felt like I was slipping back a little, so the doctor increased my dose to 40 mg each morning. As long as I take the Prozac, I am happy and stable and have maybe one migraine a year. About once a year I try to reduce the Prozac to 20 mg, but within 1 week symptoms begin to recur so I resume 40 mg daily.",51,18,0
effexor,1,Ineffective,Extremely Severe Side Effects,none,none,effexor was for the depressioin part of a treatment plan to maintain stability in bipolar,1,0,0
cymbalta,7,Considerably Effective,No Side Effects,The benefits are less depression and better mood. It took about two weeks until I started to feel better but now I feel I may need something a bit stronger as I feel I am too used to taking this medication. I plan to ask for a higher dosage or different medication.,benefits less mood took two weeks started may need something bit stronger used taking medication plan ask higher dosage different medication,I don't really know what the details would be except that I started with 20mg and was increased to 30mg within two weeks.,52,17,0
serzone,3,Marginally Effective,Severe Side Effects,Lessened depression,lessened,"I took this med after trying others for depression.  It worked pretty well.  I decided to taper my dose down when I got pregnant & was off completely when my son was about one month old.  Since then, I have kept my depression under control effectively through diet & exercise.",2,0,0
paxil-cr,4,Moderately Effective,Moderate Side Effects,"It reduced some of the side effects of depression such as insomnia, frequent crying and feelings of hopeless.",reduced side effects insomnia frequent crying feelings hopeless,"Withdrawing from the drug was done slowly, with a gradual reduction over a six week period. Treatment was accompanied by talk therapy. The withdrawal from the drug itself was difficult, as it led to the emergence of anxiety and panic attacks and a new case of mild depression.",18,8,0
lexapro,8,Considerably Effective,No Side Effects,Lexapro seemed to work well for me.  I suffered from panic attacks in the past and the Lexapro definitely helped with these.  The Lexapro also assisted with symptoms of depression.,lexapro seemed work well suffered panic attacks past lexapro definitely helped lexapro also assisted symptoms,My doctor started me on a very low dose to treat some situational depression and panic attacks.  The 10mg did not work well enough and eventually I was given 15 and then 20.  The 20mg seemed to do the trick without any additional side effects.,32,10,0
prozac,7,Considerably Effective,Mild Side Effects,"checking myself considerably less, calm my mood swings, helped me think alot clearer,",checking considerably less calm mood swings helped think alot clearer,one tablet once a day administered oraly,13,3,0
wellbutrin,8,Considerably Effective,Mild Side Effects,"The drug worked on reducing/eliminating my situational feelings of depression.  Initially, it increased my energy and focus, and stopped the feelings of sadness.  It did not make me feel like a ""zombie"" and I felt connected to my emotions and the people around me, which I had heard was a side effect of other anti-depressants.",drug worked reducingeliminating situational feelings initially increased energy focus stopped feelings sadness make like zombie connected emotions people around heard side effect antidepressants,"I started on 150 mg for 2 weeks on the brand name drug once a day.  It seemed like as soon as I was switched to the generic 300mg, the energy and focus benefits stopped.  There is no way to know if it was the switch to generic or just my body getting used to the drug, but it was dissapointing.  I really enjoyed the energy.  I weaned myself off after 1 year because I didn't need it anymore.  I did not have any significant withdrawal symptoms.  Overall it was a positive experience, although I was glad to not need it anymore.",57,24,0
adderall,5,Considerably Effective,Moderate Side Effects,"Increased productivity, ability to stay awake during the day.",increased productivity ability stay awake day,This was used in conjunction with Lexapro for depression.  I started taking it to keep myself awake (drowsiness as a side effect of the LExapro).  However I quickly lost about 10 lbs and couldn't stop moving around.  Eventually my thinking became jumbled (I don't have ADD).  I was constantly thinking in circles.,9,3,0
lexapro,2,Considerably Effective,Moderate Side Effects,less depression/anxiety,less depressionanxiety,"I stopped taking the Lexapro and have been trying to manage my depression on my own with yoga, light therapy, supplements which has only been mildly effective.",2,0,0
citalopram,9,Considerably Effective,Mild Side Effects,"Until 10 days ago never took an anti-depressant, GP encouraged me due to my fatigue, low mood, agitation and within 4-5 days I found myself much more laid back and smiling at people more, usually because something is said and I see a funny side to it.  I know it ism supposed to take 6 weeks to work but I am changed or else back to myself.  My husband is pleased as I have stopped shouting at him at the least thing.  I have more energy and much more optimistic",10 days ago never took antidepressant gp encouraged due fatigue low mood agitation within 45 days found much laid back smiling people usually something said see funny side know ism supposed take 6 weeks work changed else back husband pleased stopped shouting least thing energy much optimistic,10mg per day,93,32,2
paxil,10,Highly Effective,No Side Effects,I have had excellent results with the drug.  I no longer have a negative or indifferent attitude towards life.  I am generally content and am capable of enjoyment.  I am still capable of feeling appropriate negative emotions but don't get stuck in them.,excellent results drug longer negative indifferent attitude towards life generally content capable enjoyment still capable feeling appropriate negative emotions dont get stuck,"I was diagnosed with mild chronic depression.  I took Prozac for approximately two years but it began to no longer work, even after raising the dosage.  My doctor switched to Paxil.  I tried getting off of it on two occasions, but both times, after about two months, the depression returned.  Paxil continues to work for me; however, I am concerned about potential long-term side effects.",46,17,0
wellbutrin-xl,10,Highly Effective,No Side Effects,I dont have days that seem so dark that there is no hope for the future any more. If I am up set about something I can still function and not spend time hibernating and not functioning. I sleep regularly where before I had nights where I would not get any sleep at all. Activities are more enjoyable. I enjoy life more.,dont days seem dark hope future set something still function spend time hibernating functioning sleep regularly nights would get sleep activities enjoyable enjoy life,take one tablet once a day every day for the rest of my life. take one tablet once a day for the rest of my life.  take one tablet a day before breakfast wait 30 minutes before eating. take with one glass of water seems to work beter if I take it in the morning before I have anything to eat and wait 30 minutes before having breakfast.,62,27,0
cymbalta,9,Highly Effective,Mild Side Effects,Worked very well to relieve depression and anxiety.  Left me feeling overall much calmer and more content.  Little things just wouldn't bother me anymore.  I stopped caring about things that used to upset me.,worked well relieve anxiety left feeling overall much calmer content little things wouldnt bother anymore stopped caring things used upset,Took medication as prescribed.,37,12,0
diazepam,3,Marginally Effective,Moderate Side Effects,"I found that I actually felt worse rather than better, the only benefit was that with  imovane I could sleep at night which I couldn't do earlier. I never really felt rested though. I am not sure if the combination of these 3 drugs caused my anxiety to become worse. Venlafaxine was supposed to help my depression but I found it totally ineffective. I am wondering if I get a higher dose will it help but I am afraid it might make it worse . WOuld love to go off all of these medicines as I feel the side effects are worse than the depression",found actually worse rather benefit imovane could sleep night couldnt earlier never really rested though sure combination 3 drugs caused anxiety become worse venlafaxine supposed help found totally ineffective wondering get higher dose help afraid might make worse would love go medicines side effects worse,"Morning Venlafaxine - 225 mg
night before going to bed - diazepam 2mg and imovane 7.5 mg",106,43,1
sarafem,4,Marginally Effective,Moderate Side Effects,"It kept me at a low-functioning level (work and occassional activities), which was an improvement for me.  It kept me functioning due to decreased depression.  I had taken it for a few years on and off before finally switching to another drug two days ago due to the drug becomming no longer effective.  When I was younger and the drug was new to me it was much more effective.",kept lowfunctioning level work occassional activities improvement kept functioning due decreased taken years finally switching another drug two days ago due drug becomming longer effective younger drug new much effective,"40 mg of and on for years, then increased to 60 mg four months ago due to worsening depression.  I am being switched to another medication as this drug is no longer effective.",72,32,0
sarafem,10,Highly Effective,No Side Effects,"stabilized mood, allowed for clearer thinking, improved sleep pattern, felt less anxious, made world look bright again.",stabilized mood allowed clearer thinking improved sleep pattern less anxious made world look bright,"Started with 20 mg once daily. This worked for several years. When spouse endured 3 years of life-threatening illness, the dosage was increased to 40 mg taken as 2 20mg pills.",17,1,0
lexapro,6,Marginally Effective,No Side Effects,"The treatment benefits were marginal at best.  Mood neither improved nor deteriorated, and anxiety was never significantly alleviated.  Unsurprisingly, recent research suggests that SSRIs are only effective in the most severe of cases.",treatment benefits marginal best mood neither improved deteriorated anxiety never significantly alleviated unsurprisingly recent research suggests ssris effective severe cases,"The pills are administered once a day, daily, for as long as you think it's worth taking them.  The prescribing physician recommended taking Lexapro for at least six months to get the full benefit of its normalizing effects.",35,12,0
emsam,9,Considerably Effective,No Side Effects,"More energy, clearer mind, no depression.",energy clearer mind,"Once daily patch. Adheres well, stays on, minor redness after patch removal on very sensitive skin, but goes away quickly. Patch must be applied to a different defined (by the manufacturer) area everyday.",6,1,0
neurontin,8,Considerably Effective,Moderate Side Effects,"Neurontin coupled with a stimulant such as caffeine gave me a warm sense of well being and evenness.  However, the drug acted merely as a Novocaine to numb my depression and did nothing to help correct my brain chemistry.  That said, it was an effective enough band-aid that I suffered the sexual side effects in order to take it as prescribed.",neurontin coupled stimulant caffeine gave warm sense well evenness however drug acted merely novocaine numb nothing help correct brain chemistry said effective enough bandaid suffered sexual side effects order take prescribed,"I was prescribed Neurontin for severe depression in 8/09.  As of 9/10, I am still taking it but considering ECT.",63,27,0
prozac,9,Highly Effective,Mild Side Effects,"My mood was stablized, and I was able to take advantage of cognitive therapy.  Without the medication, I was not able to benefit from CT.",mood stablized take advantage cognitive therapy without medication benefit ct,"I took 20 mg. of Prozac once per day, in one tablet.  It took about 6 weeks for the drug to reach its peak effectiveness, which is one of the drawbacks of this anti-depressant therapy.  I tried others, but they didn't work nearly as well as Prozac.",26,10,0
wellbutrin-xl,8,Moderately Effective,Mild Side Effects,Helped with depression - did nothing for anxiety I did help me with my fear of crowds. It also helped me with my hopelessness I had been encountering.,helped nothing anxiety help fear crowds also helped hopelessness encountering,Given for major depression.  One 150mg pill per day.  I still take the same dosage as I started out on.  I am afraid to up my dose because Wellbutrin can cause seizures in many people.,28,13,0
effexor,5,Moderately Effective,Moderate Side Effects,I'm not entirely sure it was effective at all.,im entirely sure effective,I took Effexor once daily at bedtime for 3 years.,9,4,0
lexapro,1,Ineffective,Extremely Severe Side Effects,It was suspose to help ease my depression issues that happend when the biploar side of me was not in hyper. It was a new drug it was suspose to be very effeect. Not cause any weight gain. With very little side effects.,suspose help ease issues happend biploar side hyper new drug suspose effeect cause weight gain little side effects,I was to take one 10mg pill at night before I go to bed every night. It did not matter if it was taken with food or with out food. Either way was fine. I had to take it at the same time every night. I was not suspose ot stop treatment unless my doctor said it was ok.,43,20,0
wellbutrin,9,Considerably Effective,Mild Side Effects,"I feel much better emotionally.  I was unable to get out of bed before I started treatment, and now I am back to having an interest in life.  It doesn't make me nauseous, which is a huge plus as far as I'm concerned.  I like that it doesn't cause weight gain or sexual side effects.
I was happy that it only made me feel mildly nauseous for a day or so.  I feel nearly back to normal emotionally.  I was concerned that it made my hands quite shaky for awhile, but after a reduced my caffeine intake, that subsided.  My only complaint is that it makes my ears ring.  All the time.  It is generally easy to ignore during the day, but I have found that I need a fan and a white noise machine set to a high pitch sound (like crickets) in order to be able to ignore it enough to sleep.",much emotionally unable get bed started treatment back interest life doesnt make nauseous huge plus far im concerned like doesnt cause weight gain sexual side effects happy made mildly nauseous day nearly back normal emotionally concerned made hands quite shaky awhile reduced caffeine intake subsided complaint makes ears ring time generally easy ignore day found need fan noise machine set high pitch sound like crickets order ignore enough sleep,Started out on one extended release tablet at 150 mg once per day.  After 4 weeks bumped up to 300 mg dose.,161,66,0
wellbutrin-xl,9,Highly Effective,Mild Side Effects,"Helped my depression considerably.  Also, out of all depression medication I have taken since 1994, I have been able to stop taking Wellbutrin the longest before depression symptoms returned, so I believe eventually I may be able to stop taking Wellbutrin and not have depression symptoms return.",helped considerably also medication taken since 1994 stop taking wellbutrin longest symptoms returned believe eventually may stop taking wellbutrin symptoms return,I pill daily.  I take the medication in the a.m.,48,16,0
zoloft,7,Highly Effective,Moderate Side Effects,"Our home was destroyed in the 1994 Northridge Earthquake. Before the earthquake, I was already experiencing depressive symptoms but was reluctant to take medication for it. After the earthquake, my doctor recommended I give the antidepressants a try for a few months coupled with therapy to get me back on track. About two weeks later, I found myself feeling good again, (in spite of my therapist telling me how screwed up my family was) driving down the freeway, singing at the top of my lungs and playing air drums on the steering wheel of my car. The ""Old me"" was back! 

Thanks to the medication, I was able to re-organize my life and focus on moving ahead instead of being stuck knowing what things needed to be done but not having the drive or motivation to do them.",home destroyed 1994 northridge earthquake earthquake already experiencing depressive symptoms reluctant take medication earthquake doctor recommended give antidepressants try months coupled therapy get back track two weeks later found feeling good spite therapist telling screwed family driving freeway singing top lungs playing air drums steering wheel old back thanks medication reorganize life focus moving ahead instead stuck knowing things needed done drive motivation,"My primary care physician prescribed counseling and the antidepressant, Zoloft. The plan was to take the medication for three to six months until I felt I was back on track and could maintain a functional lifestyle without it. 

I started with 25 mg every other day for five days, then 25 mg a day for one week, followed by 50 mg a day every day thereafter. I began therapy with a psychologist once a week where I was diagnosed with PTSD. Strangely enough, I found the counseling to do more harm than good in this case partially because it made me see my childhood for what it really was. I did not find that to be helpful at the time. Had I not been on anti-depressants before I went to counseling, I would have needed it afterward to deal with the emotional blows that I had to face and could no longer ignore that drove me into depression in the first place.",138,58,1
wellbutrin,8,Considerably Effective,Moderate Side Effects,"Alleviated depression without lethargy, weight gain, a paradoxical effect, or sexual dysfunction.  Prozac made me suicidally depressed. MAO-Inhibitors like Parnate worked very well for me, except all of my favorite foods were forbidden.  Wellbutrin seemed to be the only antidepressant that lifted me out of my depression, and it had the unanticipated benefit of getting me to quit smoking -- I went from smoking a pack of Camels a day to not smoking.",alleviated without lethargy weight gain paradoxical effect sexual dysfunction prozac made suicidally depressed maoinhibitors like parnate worked well except favorite foods forbidden wellbutrin seemed antidepressant lifted unanticipated benefit getting quit smoking went smoking pack camels day smoking,"I took 2 100 mg of the Wellbutrin, 20mg of Ritalin and a 10 mg of a beta blocker (I can't remember the name) in the morning.  Then at 3 I took the other 200 mg of the Wellbutrin; at night I took the Serzone (before it was yanked from the market) and the Trazodone.  I took a drug holiday from the Ritalin over the weekend, but over the years I eventually increased the dosage to 35mg of Ritalin in the morning.",75,31,0
citalopram,7,Moderately Effective,Severe Side Effects,Patient was more mellow and not as angry or argumentative. Also suicidal ideation went away. Patient was able to keep a job for longer than one year and not get fired due to bad attitude.,patient mellow angry argumentative also suicidal ideation went away patient keep job longer one year get fired due bad attitude,The patient took the drug in the morning with breakfast.,35,14,0
effexor-xr,1,Ineffective,Severe Side Effects,None.,none,"This was my Psychiatrist and GP`s last hope of treating my depression with medication, and I was told that I probably would suffer no adverse effects (""very rare"", apparently). However, after telling them at my appointment a month after starting Effexor XR, I was told that dissociative symptoms of PTSD are rarely made worse by effexor.",1,0,0
zoloft,9,Highly Effective,Mild Side Effects,"Leveled out my affect, helped me sleep and wake up more refreshed, minimized angry or generally emotional outbursts with my children and husband.",leveled affect helped sleep wake refreshed minimized angry generally emotional outbursts children husband,Began with 25mg for 2 weeks and increased to 50mg maintenance that I am currently taking.,23,10,0
paxil,10,Highly Effective,Mild Side Effects,"Alleviated symptoms of clinical depression. Prior to treatment, experienced a severe episode of clinical depression that included acute symptoms such as insomnia, loss of apetite, loss of interest in life and people, suicidal ideation. After taking the drug for less than two weeks, I returned to a normal state of thinking, feeling, and functioning (which included alleviation of negative symptoms of depression and return to goal-oriented behavior and general sense of well-being.",alleviated symptoms clinical prior treatment experienced severe episode clinical included acute symptoms insomnia loss apetite loss interest life people suicidal ideation taking drug less two weeks returned normal state thinking feeling functioning included alleviation negative symptoms return goaloriented behavior general sense wellbeing,"Upon diagnosis of severe clinical depression, was put on 10 mg of Paxil for a week which did not produce any improvement (was still debilitated and unable to think, feel, or function normally). Dose was subsequently increased to 30 mg which produced the effect described above (treatment benefits). Medication was reduced after 2 years to a maintenance dose of 20 mg, and a year later to 10 mg. A traumatic life event resulted in a subsequent episode of severe clinical depression. The dosage was again increased to 30 mg and again resulted in the treatment benefits described above.",72,24,0
cymbalta,7,Moderately Effective,Moderate Side Effects,increased ability to cope,increased ability cope,support during life stress,4,1,0
effexor-xr,1,Ineffective,Extremely Severe Side Effects,NONE!!!,none,Slowly declined dosage and am NOW EFFEXOR XR FREE!!!!!!!,1,0,0
effexor,9,Highly Effective,Mild Side Effects,"I enjoyed life again and felt happiness, I could hold down a job and look after my family. I was no longer suicidal. I lost weight because most of the time I was no longer depresses. and My overall health improved",enjoyed life happiness could hold job look family longer suicidal lost weight time longer depresses overall health improved,I took 150mg of effexor daily. For 9 years I was able to live a normal life with some small episodes of mild depression now and then. The last 12 months the effect seems to be getting less and the depression is rearing its ugly head again and I am isolating myself and have to really try to fight depression. I am experiencing the well known  pooping out syndrome.I feel it is time tolook for another anti depressant which I am dreading.,41,16,0
lexapro,8,Considerably Effective,Mild Side Effects,"This drug was most effective in 'cooling' my anxiety.  The depression was less affected, but definately improved.  I felt much calmer and able to deal with my situation more effectively.  I wasn't panic striken anymore or weeping all the time.",drug effective cooling anxiety less affected definately improved much calmer deal situation effectively wasnt panic striken anymore weeping time,"I was treated for anxiety and depression with this drug, beginning with 20mg and then reducing it to 10mg.  I was going through a divorse at the time and could not cope with the overwhelming crisis.  This drug was given in combination with cognitive psychotherapy and together I believe they were very effective.  I was able to be weaned off very easily after one and a half years and feel fine now.  The side affects were a bit troublesome and they remain; ie.  the teeth grinding and ringing in the ears and weight gain.",43,15,0
zoloft,1,Ineffective,Mild Side Effects,I had no benefits.  It didn't seem to make anything better at the time.  It seemed the depression was still the same and then I had side effects that affected me daily.,benefits didnt seem make anything time seemed still side effects affected daily,I was supposed to take a pill every morning with water.  I felt better once I stopped taking the pills and actually just started working on myself and my goals and then also wehn I started doing volunteer work to help children.,34,15,0
prozac,7,Considerably Effective,Moderate Side Effects,"Prozac helped in toning donwn my depression. Prozac was effective for the first 5 years then my depression slowly started to become worse. I then had to be placed on Wellbutrin for about 2 years, along with Prozac and yet my side effects from Prozac increassed to the point where I was taken off prozac.",prozac helped toning donwn prozac effective first 5 years slowly started become worse placed wellbutrin 2 years along prozac yet side effects prozac increassed point taken prozac,"I took Prozac once a day in the morning with my other medications. At first my depression was under control but after about 5 years the depression began to become more intense. I was then placed on Wellbutrin with Prozac and my depression soon was improving. However, I started noticing hand shakes which progressively got worse. So after 2 years of Prozac and Wellbutrin I was told to stop Prozac. Within 6 months the shaking/tremors subsided and my depression is now fine by taking only Wellbutrin (150 mg/day)",55,24,2
